event,latency
user_msg_2_7,0.05712479999056086
user_msg_2_8,0.055530999961774796
user_msg_2_9,0.05424040002981201
user_msg_3_0,0.06889689998934045
user_msg_3_1,0.06710490002296865
user_msg_3_2,0.06548829999519512
user_msg_3_3,0.06386220001149923
user_msg_3_4,0.062161499983631074
user_msg_3_5,0.060593799978960305
user_msg_3_6,0.058989299985114485
user_msg_3_7,0.05740190000506118
user_msg_3_8,0.05581190000521019
user_msg_3_9,0.05452909995801747
user_msg_4_0,0.06913240003632382
user_msg_4_1,0.0673953999648802
user_msg_4_2,0.0657830000272952
user_msg_4_3,0.06412280001677573
user_msg_4_4,0.06245830003172159
user_msg_4_5,0.060791099967900664
user_msg_4_6,0.05928379995748401
user_msg_4_7,0.05763100000331178
user_msg_4_8,0.056110700010322034
user_msg_4_9,0.05480899999383837
user_msg_5_0,0.0693687999737449
user_msg_5_1,0.06765530002303421
user_msg_5_2,0.06604800000786781
user_msg_5_3,0.06437999999616295
user_msg_5_4,0.06272250000620261
user_msg_5_5,0.061060499981977046
user_msg_5_6,0.059555399988312274
user_msg_5_7,0.05789520003600046
user_msg_5_8,0.056378599954769015
user_msg_5_9,0.05507709999801591
user_msg_6_0,0.06957749999128282
user_msg_6_1,0.06791829998837784
user_msg_6_2,0.06631749996449798
user_msg_6_3,0.06464909994974732
user_msg_6_4,0.06300009996630251
user_msg_6_5,0.06134020001627505
user_msg_6_6,0.05983750004088506
user_msg_6_7,0.05817839998053387
user_msg_6_8,0.05666349997045472
user_msg_6_9,0.05538689997047186
user_msg_7_0,0.06983940000645816
user_msg_7_1,0.0682084999862127
user_msg_7_2,0.06661570002324879
user_msg_7_3,0.0649383999989368
user_msg_7_4,0.06329679995542392
user_msg_7_5,0.0616380000137724
user_msg_7_6,0.06006970000453293
user_msg_7_7,0.05847910000011325
user_msg_7_8,0.056961099966429174
user_msg_7_9,0.05565920000663027
memory_current,memory_peak
2600581,2633688
user_msg_0_0,0.017770799982827157
user_msg_0_1,0.0296795999747701
user_msg_0_2,0.03856820001965389
user_msg_0_3,0.045031999994535
user_msg_0_4,0.05143369996221736
user_msg_0_5,0.058351000014226884
user_msg_0_6,0.0653481999761425
user_msg_0_7,0.07123699999647215
user_msg_0_8,0.07809070002986118
user_msg_0_9,0.08399070001905784
user_msg_1_0,0.09846559999277815
user_msg_1_1,0.0964386000414379
user_msg_1_2,0.09487369999988005
user_msg_1_3,0.0931037999689579
user_msg_1_4,0.09163029998308048
user_msg_1_5,0.08998739998787642
user_msg_1_6,0.08853380003711209
user_msg_1_7,0.08706360001815483
user_msg_1_8,0.08556099998531863
user_msg_1_9,0.08431679999921471
user_msg_2_0,0.0987203000113368
user_msg_2_1,0.09675059997243807
user_msg_2_2,0.0951896000187844
user_msg_2_3,0.09342450002441183
user_msg_2_4,0.09194559999741614
user_msg_2_5,0.09031279996270314
user_msg_2_6,0.08885359996929765
user_msg_2_7,0.08738169999560341
user_msg_2_8,0.0858758999966085
user_msg_2_9,0.08461330004502088
user_msg_3_0,0.09896049997769296
user_msg_3_1,0.09703479998279363
user_msg_3_2,0.09540089999791235
user_msg_3_3,0.09372040000744164
user_msg_3_4,0.09224420000100508
user_msg_3_5,0.09060809999937192
user_msg_3_6,0.08914880000520498
user_msg_3_7,0.08767209999496117
user_msg_3_8,0.08616850001271814
user_msg_3_9,0.08480020001297817
user_msg_4_0,0.09918119997018948
user_msg_4_1,0.097310799988918
user_msg_4_2,0.09561720001511276
user_msg_4_3,0.09400340000865981
user_msg_4_4,0.09252920001745224
user_msg_4_5,0.09089290001429617
user_msg_4_6,0.08943280001403764
user_msg_4_7,0.08795700001064688
user_msg_4_8,0.08642350003356114
user_msg_4_9,0.08517330000177026
user_msg_5_0,0.09951249998994172
user_msg_5_1,0.09768760000588372
